"rowid","sentiment","service","recommendation","intent","review"
1014,"Negative","App Reliability","Investigate app crashes","Issue","Doesn't liked this app. Bad app. Doesn't seem to be genuine. I am not satisfied with this app."
1015,"Negative","App Reliability","Investigate app crashes provide update","Issue","One of the worst banking related application that we can now seen in playstore. It user interface and the customer service system is really bad and annoying."
1016,"Negative","App Reliability","Investigate app crashes","Issue","Worst app I have ever used . This guy's are fraud. Don't try this app"
1017,"Negative","App Reliability","Investigate app crashes and offer temporary solution","Issue","This app not working properly so that this a flopp and not a nice appp ."
1018,"Negative","App Reliability","Investigate app crashes provide fix","Issue","This App is Buggy interface makes sending money a frustrating guessing game.Unable to resolve simple issues through the app chat, forced to call.Long wait times and unhelpful responses from customer support."
1019,"Negative","App Reliability","Investigate app crashes","Issue","This app is very bad for me, but i know if anyone install this app must feels everyones bad And everyone please be careful."
1020,"Negative","App Reliability","Investigate and resolve app crashes","Issue","the bank has been involved in several scandals, including the misappropriation of customer funds."
1021,"Negative","App Reliability","Investigate app crashes offer compensation","Issue","This app is bad and it is not use for long time so many reasons for this app."
1022,"Negative","App Reliability","Investigate app crashes offer temporary solution","Issue","Certibility wise the worse app ever I used. Always asking to relogin. Not at all happy"
1023,"Negative","App Reliability","Investigate app crashes","Issue","Very horrible experience. Too much ads and bad service"
1024,"Negative","App Reliability","Investigate app crashes","Issue","This app... I know security is very important, but asking to disable a third party accessibility app with no way to set exceptions is just lazy coding. After logging in and setting 2 types of pin, for some random reason, the next time I access the app, it's asking to log in again... and set a new unique pin. In a day, I have to go through this cycle every time I want to access the app Security for the app is too tight to make it even remotely useful for everyday use"
1025,"Negative","App Reliability","Investigate app crashes provide temporary solution","Issue","It's a bad application and i very sad this app very bad application also"
1026,"Negative","App Reliability","Investigate app crashes improve reliability","Issue","When the app is working, all good. when it is not, it becomes a very inconvenient situation."
1027,"Negative","App Reliability","Investigate and resolve app crashes","Issue","It's very useless app I ever used .I don't recommend this app to anyone"
1028,"Negative","App Reliability","Investigate app crashes and provide solution","Issue","Guys the new UI update made the app so laggy, I'm on a Samsung S10 helpppp 😭😭😭"
1029,"Negative","App Reliability","Investigate app crashes","Issue","Good rewards banking."
1030,"Negative","App Reliability","Investigate app crashes","Issue","Easy to use"
1031,"Negative","App Reliability","Investigate app crashes provide update","Issue","Keeps asking to re login like a new customer(Singpass) everytime since the new update. Please sort out your bugs and backend before pushing out updates. Everyday few days have to create a new 6 digit pass code with every single re login and you can't use the previous pass code. Super frustrating and buggy experience."
1032,"Negative","App Reliability","Investigate app crashes","Issue","App is useless in handling transaction inquiries. Often ask me to redirect the issue to the merchant instead since Trust cannot provide the refund as they have made the transaction. E.g. Purchasing a simple can drink from a machine, payment goes through but drink wasn't disbursed, Trust expects you to get the money back from the merchant."
